Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.350000,-34.925000,90.000000,top
"C2","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",233.172000,-117.856000,90.000000,top
"C3","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",179.705000,-24.130000,90.000000,top
"C4","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",60.960000,-41.275000,180.000000,top
"C5","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",61.214000,-53.848000,180.000000,top
"C6","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",62.484000,-70.485000,180.000000,top
"C7","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",58.013600,-78.587600,0.000000,top
"C8","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",62.763400,-95.732600,180.000000,top
"C9","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",62.821400,-108.606450,180.000000,top
"C10","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",61.163200,-120.243600,180.000000,top
"C11","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",62.821400,-134.006450,180.000000,top
"C12","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",243.840000,-129.312500,-90.000000,top
"C13","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",196.850000,-77.470000,0.000000,top
"C14","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",196.850000,-83.820000,0.000000,top
"C15","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",196.850000,-86.995000,0.000000,top
"C16","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",196.850000,-90.170000,0.000000,top
"C17","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",196.850000,-93.345000,0.000000,top
"C18","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",197.040000,-96.520000,0.000000,top
"C19","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",197.040000,-99.695000,0.000000,top
"C20","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",84.113100,-50.800000,180.000000,top
"C21","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",109.855000,-44.450000,0.000000,top
"C22","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",231.648000,-72.136000,-90.000000,top
"C23","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",204.280000,-77.470000,0.000000,top
"C24","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",204.280000,-80.645000,0.000000,top
"C25","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",204.090000,-83.820000,0.000000,top
"C26","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",204.090000,-86.995000,0.000000,top
