Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,133.35,-34.925,90,top
C2,22uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,233.172,-117.856,90,top
C3,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,179.705,-24.13,90,top
C4,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,60.96,-41.275,180,top
C5,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,61.214,-53.848,180,top
C6,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,62.865,-70.485,180,top
C7,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,61.214,-82.1436,180,top
C8,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,62.8214,-95.90645,180,top
C9,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,62.8214,-108.60645,180,top
C10,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,61.1632,-120.2436,180,top
C11,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,62.8214,-134.00645,180,top
C12,22uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,243.84,-129.3125,-90,top
C13,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,196.85,-77.47,0,top
C14,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,196.85,-83.82,0,top
C15,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,196.85,-86.995,0,top
C16,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,196.85,-90.17,0,top
C17,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,196.85,-93.345,0,top
C18,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,197.04,-96.52,0,top
C19,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,197.04,-99.695,0,top
C20,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,84.1131,-50.8,180,top
C21,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,109.855,-44.45,0,top
C22,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,231.648,-72.136,-90,top
C23,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,204.28,-77.47,0,top
C24,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,204.28,-80.645,0,top
C25,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,204.09,-83.82,0,top
C26,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,204.09,-86.995,0,top
C27,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,196.85,-80.645,0,top
C28,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,204.09,-90.17,0,top
C29,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,204.09,-93.345,0,top
C30,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,204.09,-96.52,0,top
C31,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,204.09,-99.695,0,top
C32,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.575,-77.47,0,top
C33,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.575,-80.645,0,top
C34,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.575,-83.82,0,top
C35,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.575,-86.995,0,top
C36,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.575,-90.17,0,top
C37,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.575,-93.345,0,top
C38,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.575,-96.52,0,top
C39,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.575,-99.695,0,top
C40,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,158.84,-77.47,0,top
C41,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,158.84,-80.645,0,top
C42,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,158.84,-83.82,0,top
C43,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,158.84,-86.995,0,top
C44,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,158.84,-90.17,0,top
C45,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,158.84,-93.345,0,top
C46,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,158.84,-96.52,0,top
C47,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,158.84,-99.695,0,top
C48,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,166.5975,-77.47,0,top
C49,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.2175,-77.47,0,top
C50,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,181.61,-77.47,0,top
C51,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,189.0025,-77.47,0,top
C52,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,166.5975,-80.645,0,top
C53,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.2175,-80.645,0,top
C54,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,181.61,-80.645,0,top
C55,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,189.0025,-80.645,0,top
C56,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,166.5975,-83.82,0,top
C57,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.2175,-83.82,0,top
C58,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,181.61,-83.82,0,top
C59,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,189.0025,-83.82,0,top
C60,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,166.5975,-86.995,0,top
C61,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.2175,-86.995,0,top
C62,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,181.61,-86.995,0,top
